Waypoint,long,lat,Date,Frame,In,Out,Substratum1,Substratum2,Substratum3,Substratum4
W321,-4.583791667,58.58109333,07/08/2023,C,09:20,10:10,cob_boulder,gravel,,
W881,-4.593845,58.58108333,07/08/2023,A,09:30,10:30,rock,,,
W891,-4.608078333,58.57926167,07/08/2023,B,09:45,10:48,cob_boulder,,,
W521,-4.609716667,58.575055,07/08/2023,C,10:22,11:12,cob_boulder,,,
W451,-4.617918333,58.57610167,07/08/2023,A,10:45,11:37,sand,,,
W771,-4.621785,58.58030667,07/08/2023,B,11:03,11:54,sand,,,
W701,-4.626906667,58.57504167,07/08/2023,C,11:24,12:14,muddy_sand,,,
W1001,-4.627676667,58.58318167,07/08/2023,A,11:46,12:36,sand,,,
W1061,-4.638396667,58.58001833,07/08/2023,B,12:05,12:55,sand,,,
W731,-4.646141667,58.58072167,07/08/2023,C,12:24,13:22,sand,,,
W681,-4.648896667,58.57243833,07/08/2023,B,13:06,13:56,cob_boulder,,,
W471,-4.660661667,58.57116,07/08/2023,A,13:12,14:03,rock,,,
W821,-4.666855,58.57705667,07/08/2023,C,13:35,14:25,sand,,,
W311,-4.673918333,58.57178667,07/08/2023,A,14:12,15:04,rock,cob_boulder,,
W381,-4.682728333,58.56927667,07/08/2023,B,14:17,15:14,rock,,,
W961,-4.67526,58.577145,07/08/2023,C,14:35,15:25,sand,,,
W1910,-4.681203333,58.57340333,07/08/2023,A,15:12,16:02,sand,,,
W1410,-4.63098,58.551815,08/08/2023,A,09:05,09:55,sand,,,
W841,-4.638001667,58.55495333,08/08/2023,C,09:12,10:12,muddy_sand,,,
W217,-4.642213333,58.550445,08/08/2023,B,09:18,10:26,rock,,,
W531,-4.636988333,58.56222667,08/08/2023,A,10:06,10:58,muddy_sand,,,
W711,-4.646016667,58.56229667,08/08/2023,C,10:20,11:10,muddy_sand,,,
W411,-4.648435,58.556805,08/08/2023,B,10:40,11:30,rock,,,
W1010,-4.652938333,58.56290333,08/08/2023,A,11:07,11:58,sand,,,
W851,-4.662641667,58.56459,08/08/2023,C,11:20,12:14,sand,,,
W631,-4.65928,58.55931167,08/08/2023,B,11:37,12:27,sand,,,
W861,-4.67076,58.557745,08/08/2023,A,12:09,13:00,sand,,,
W1710,-4.670416667,58.56135333,08/08/2023,C,12:20,13:12,sand,,,
W301,-4.663406667,58.55644667,08/08/2023,B,12:33,13:23,sand,,,
W1041,-4.685213333,58.560715,08/08/2023,A,13:08,14:03,rock,,,
W610,-4.676263333,58.56320667,08/08/2023,C,13:17,14:19,sand,,,
W781,-4.685295,58.55707833,08/08/2023,B,13:33,14:29,sand,,,
W1111,-4.703306667,58.56199667,08/08/2023,A,14:12,15:02,sand,,,
W691,-4.68842,58.56001667,08/08/2023,C,14:26,15:16,sand,gravel,,
W2010,-4.698631667,58.5596,08/08/2023,B,14:35,15:26,sand,cob_boulder,gravel,
W261,-4.65219,58.547785,09/08/2023,B,09:07,10:03,sand,,,
W251,-4.652778333,58.54263167,09/08/2023,C,09:14,10:14,sand,rock,,
W1510,-4.63936,58.546175,09/08/2023,A,09:21,10:26,rock,cob_boulder,,
W651,-4.646853833,58.540515,09/08/2023,B,10:10,11:00,sand,,,
W1151,-4.641786667,58.5384,09/08/2023,C,10:21,11:11,muddy_sand,,,
W571,-4.63869,58.54396167,09/08/2023,A,10:32,11:27,muddy_sand,,,
W361,-4.65057,58.53409667,09/08/2023,B,11:07,11:57,sand,gravel,,
W351,-4.639613333,58.53237667,09/08/2023,C,11:19,12:10,mud,,,
W271,-4.636911667,58.53607,09/08/2023,A,11:35,12:25,mud,,,
W410,-4.64886,58.53031167,09/08/2023,B,12:03,12:53,mud,,,
W991,-4.653341667,58.52080833,09/08/2023,A,12:39,13:29,mud,,,
W1141,-4.659531667,58.52223,09/08/2023,C,12:44,13:39,mud,,,
W1210,-4.670903333,58.52293,09/08/2023,B,13:05,13:55,cob_boulder,,,
W911,-4.667236667,58.52061,09/08/2023,A,13:37,14:28,muddy_sand,,,
W751,-4.66512,58.51778667,09/08/2023,C,13:48,14:41,mud,,,
W1101,-4.671038333,58.51497333,09/08/2023,B,14:03,14:53,mud,,,
W481,-4.668741667,58.51174167,09/08/2023,A,14:37,15:33,mud,,,
W441,-4.677665,58.51204667,09/08/2023,C,14:49,15:39,muddy_sand,,,
W291,-4.653308333,58.51522167,10/08/2023,C,08:38,09:30,mud,,,
W231,-4.661088333,58.51293333,10/08/2023,A,08:43,09:35,mud,,,
W510,-4.680675,58.51278333,10/08/2023,B,08:51,09:47,rock,,,
W1011,-4.682,58.509155,10/08/2023,A,09:45,10:37,muddy_sand,,,
W1610,-4.677656667,58.50576833,10/08/2023,B,09:54,10:45,mud,,,
W218,-4.690295,58.50704833,10/08/2023,C,09:59,11:00,sand,,,
W541,-4.675516667,58.49738167,10/08/2023,B,10:51,11:42,mud,,,
W561,-4.685545,58.49845833,10/08/2023,A,10:57,11:52,mud,,,
W901,-4.696995,58.50184,10/08/2023,C,11:08,11:58,muddy_sand,,,
W671,-4.667905,58.49404,10/08/2023,B,11:48,12:38,muddy_sand,,,
W1810,-4.706178333,58.49581333,10/08/2023,C,12:04,12:54,sand,,,
W331,-4.676805,58.49190333,10/08/2023,A,12:13,13:06,mud,,,
W831,-4.671203333,58.48852,10/08/2023,B,12:44,13:36,muddy_sand,,,
W341,-4.693918333,58.49568667,10/08/2023,C,13:01,13:51,mud,,,
W371,-4.680266667,58.488305,10/08/2023,A,13:12,14:02,mud,,,
W391,-4.700088333,58.4879,10/08/2023,B,13:46,14:37,sand,,,
W871,-4.688096667,58.49022833,10/08/2023,C,13:58,14:48,mud,,,
W511,-4.690235,58.48719167,10/08/2023,A,14:09,14:59,mud,,,
W241,-4.618125,58.564595,12/08/2023,A,09:08,09:58,sand,,,
W310,-4.630536667,58.56859333,12/08/2023,C,09:15,10:08,muddy_sand,,,
W431,-4.61223,58.57212333,12/08/2023,B,09:22,10:17,cob_boulder,,,
W591,-4.629706667,58.56473167,12/08/2023,A,10:06,10:57,sand,,,
W581,-4.625161667,58.570135,12/08/2023,C,10:14,11:07,sand,,,
W1161,-4.610831667,58.56787333,12/08/2023,B,10:22,11:18,cob_boulder,,,
W641,-4.622081667,58.56156667,12/08/2023,A,11:03,11:53,sand,,,
W551,-4.605606667,58.56496167,12/08/2023,C,11:16,12:06,cob_boulder,,,
W931,-4.610278333,58.55754667,12/08/2023,B,11:27,12:19,cob_boulder,,,
W801,-4.614718333,58.55240833,12/08/2023,C,12:16,13:06,sand,,,
W491,-4.606916667,58.54941667,12/08/2023,B,12:27,13:13,gravel,cob_boulder,,
W941,-4.613333333,58.54551,12/08/2023,A,12:32,13:19,sand,,,
W501,-4.60131,58.54193333,12/08/2023,C,13:15,14:05,cob_boulder,,,
W1081,-4.622821667,58.541085,12/08/2023,A,13:26,14:17,sand,,,
W1071,-4.609293333,58.53670333,12/08/2023,B,13:42,14:33,sand,,,
W421,-4.623496667,58.53600833,12/08/2023,C,14:15,15:05,sand,,,
W721,-4.622436667,58.5288,12/08/2023,A,14:28,15:18,rock,,,
W761,-4.60595,58.52873333,12/08/2023,B,14:40,15:31,cob_boulder,,,
W611,-4.733542,58.581465,13/08/2023,B,10:21,11:11,rock,sand,,
W921,-4.739465,58.57542167,13/08/2023,C,10:31,11:21,rock,sand,,
W221,-4.732585,58.57327667,13/08/2023,A,10:35,11:28,sand,,,
W1121,-4.72489,58.58100167,13/08/2023,B,11:15,12:05,sand,,,
W971,-4.73197,58.576165,13/08/2023,C,11:25,12:15,sand,,,
W1091,-4.727473333,58.57161833,13/08/2023,A,11:32,12:22,sand,,,
W461,-4.716718333,58.57907333,13/08/2023,B,12:09,12:59,sand,,,
W621,-4.725638333,58.57488667,13/08/2023,C,12:20,13:11,sand,,,
W811,-4.714195,58.572135,13/08/2023,A,12:28,13:21,sand,,,
W601,-4.708603333,58.57934833,13/08/2023,B,13:03,13:54,sand,,,
WEX3,-4.709813333,58.57636167,13/08/2023,C,13:17,14:07,sand,,,
W1051,-4.70106,58.56814,13/08/2023,A,13:27,14:18,sand,,,
W791,-4.716605,58.58215167,13/08/2023,B,13:59,14:49,sand,,,
W951,-4.698578333,58.57814667,13/08/2023,C,14:13,15:03,sand,,,
W1310,-4.701136667,58.57308667,13/08/2023,A,14:23,15:13,sand,,,
W710,-4.690108333,58.58058167,13/08/2023,B,14:54,15:44,sand,,,
W981,-4.685548333,58.57653333,13/08/2023,C,15:09,15:59,sand,,,
W1100,-4.69324,58.57462667,13/08/2023,A,15:18,16:08,sand,,,
WEX1,-4.751318333,58.45579167,14/08/2023,A,08:34,09:24,muddy_sand,,,
W1031,-4.738031667,58.45255333,14/08/2023,C,08:41,09:31,muddy_sand,,,
W810,-4.740283333,58.45736333,14/08/2023,B,08:47,09:48,muddy_sand,,,
W1131,-4.717661667,58.466945,14/08/2023,C,09:39,10:31,muddy_sand,,,
W661,-4.734495,58.467165,14/08/2023,A,09:44,10:39,muddy_sand,,,
WEX2,-4.729261667,58.461435,14/08/2023,B,09:53,10:52,mud,,,
W1021,-4.723118333,58.47304333,14/08/2023,C,10:36,11:27,muddy_sand,,,
W910,-4.71148,58.47491,14/08/2023,A,10:47,11:38,muddy_sand,gravel,,
W1110,-4.707545,58.46928833,14/08/2023,B,11:01,11:53,sand,,,
W401,-4.718455,58.47841667,14/08/2023,C,11:32,12:24,sand,gravel,,
W741,-4.702406667,58.47824833,14/08/2023,B,12:00,12:51,mud,,,
W281,-4.699868333,58.48304833,14/08/2023,A,12:07,12:57,muddy_sand,gravel,,
