Waypoint,long,lat,Date,Frame,In,Out,Substratum1,Substratum2,Substratum3,Substratum4,mud,muddy_sand,sand,gravel,cob_boulder,rock
55,-4.69802,58.50158,04/08/2021,A,14:09,15:03,muddy_sand,NA,NA,,0,1,0,0,0,0
54,-4.68712,58.50092,04/08/2021,B,14:40,15:35,mud,NA,NA,,1,0,0,0,0,0
49,-4.69244,58.49609,04/08/2021,C,14:45,15:51,mud,NA,NA,,1,0,0,0,0,0
48,-4.71134,58.49523,04/08/2021,A,15:13,16:06,gravel,rock,NA,,0,0,0,1,0,1
56,-4.68834,58.50579,04/08/2021,B,15:44,16:35,muddy_sand,NA,NA,,0,1,0,0,0,0
47,-4.70339,58.49475,04/08/2021,C,15:59,16:50,mud,NA,NA,,1,0,0,0,0,0
52,-4.70001,58.50023,04/08/2021,B,16:44,17:35,gravel,muddy_sand,NA,,0,1,0,1,0,0
32,-4.70336,58.48393,04/08/2021,C,16:59,17:52,gravel,muddy_sand,NA,,0,1,0,1,0,0
200,-4.72949,58.58109,05/08/2021,A,09:02,09:54,rock,NA,NA,,0,0,0,0,0,1
191,-4.73669,58.57841,05/08/2021,B,09:14,10:09,rock,NA,NA,,0,0,0,0,0,1
168,-4.73495,58.57112,05/08/2021,C,09:22,10:17,sand,NA,NA,,0,0,1,0,0,0
178,-4.72148,58.57346,05/08/2021,A,10:02,10:52,sand,NA,NA,,0,0,1,0,0,0
193,-4.73121,58.57899,05/08/2021,B,10:12,11:07,rock,NA,NA,,0,0,0,0,0,1
166,-4.70842,58.5704,05/08/2021,C,10:25,11:26,sand,NA,NA,,0,0,1,0,0,0
181,-4.70431,58.57473,05/08/2021,A,10:59,11:51,sand,NA,NA,,0,0,1,0,0,0
209,-4.7004,58.58389,05/08/2021,B,11:18,12:10,muddy_sand,NA,NA,,0,1,0,0,0,0
160,-4.69855,58.56862,05/08/2021,C,11:32,12:29,sand,NA,NA,,0,0,1,0,0,0
170,-4.69182,58.57207,05/08/2021,A,12:02,12:53,rock,sand,NA,,0,0,1,0,0,1
192,-4.68579,58.57858,05/08/2021,B,12:22,13:15,sand,NA,NA,,0,0,1,0,0,0
151,-4.69557,58.56475,05/08/2021,C,12:36,13:30,rock,cob_boulder,NA,,0,0,0,0,1,1
165,-4.68489,58.56966,05/08/2021,A,13:00,13:51,sand,cob_boulder,NA,,0,0,1,0,1,0
185,-4.67854,58.57689,05/08/2021,B,13:19,14:10,sand,NA,NA,,0,0,1,0,0,0
149,-4.68765,58.56433,05/08/2021,C,13:36,14:28,,NA,NA,,0,0,0,0,0,0
65,-4.6152,58.52126,06/08/2021,C,08:46,09:38,sand,NA,NA,,0,0,1,0,0,0
75,-4.60408,58.52783,06/08/2021,B,09:08,10:00,cob_boulder,rock,NA,,0,0,0,0,1,1
83,-4.61386,58.53134,06/08/2021,A,09:15,10:11,muddy_sand,NA,NA,,0,1,0,0,0,0
76,-4.62938,58.52935,06/08/2021,C,09:47,10:38,sand,NA,NA,,0,0,1,0,0,0
89,-4.6025,58.53533,06/08/2021,B,10:07,11:06,sand,cob_boulder,NA,,0,0,1,0,1,0
88,-4.62033,58.53456,06/08/2021,A,10:17,11:20,muddy_sand,NA,NA,,0,1,0,0,0,0
96,-4.63402,58.54049,06/08/2021,C,10:46,11:48,mud,NA,NA,,1,0,0,0,0,0
97,-4.6012,58.5409,06/08/2021,B,11:13,12:04,cob_boulder,sand,NA,,0,0,1,0,1,0
91,-4.62872,58.53675,06/08/2021,A,11:26,12:20,mud,NA,NA,,1,0,0,0,0,0
102,-4.62783,58.54538,06/08/2021,C,11:56,12:46,muddy_sand,NA,NA,,0,1,0,0,0,0
104,-4.61223,58.54581,06/08/2021,B,12:12,13:06,muddy_sand,NA,NA,,0,1,0,0,0,0
95,-4.62258,58.54042,06/08/2021,A,12:27,13:22,muddy_sand,NA,NA,,0,1,0,0,0,0
114,-4.62958,58.54911,06/08/2021,C,13:15,14:06,muddy_sand,NA,NA,,0,1,0,0,0,0
119,-4.60625,58.54911,06/08/2021,B,13:15,14:06,cob_boulder,rock,NA,,0,0,0,0,1,1
100,-4.60385,58.54344,06/08/2021,A,13:35,14:26,cob_boulder,sand,NA,,0,0,1,0,1,0
211,-4.5732,58.5849,07/08/2021,A,09:11,10:04,cob_boulder,NA,NA,,0,0,0,0,1,0
204,-4.58815,58.5837,07/08/2021,C,09:49,10:54,cob_boulder,NA,NA,,0,0,0,0,1,0
183,-4.60005,58.57661,07/08/2021,A,10:14,11:19,rock,NA,NA,,0,0,0,0,0,1
174,-4.60216,58.57021,07/08/2021,B,10:36,11:36,rock,NA,NA,,0,0,0,0,0,1
154,-4.60737,58.56597,07/08/2021,C,11:07,12:04,cob_boulder,NA,NA,,0,0,0,0,1,0
144,-4.66934,58.56144,07/08/2021,A,11:27,12:27,rock,NA,NA,,0,0,0,0,0,1
148,-4.61888,58.56353,07/08/2021,B,11:44,12:44,muddy_sand,NA,NA,,0,1,0,0,0,0
156,-4.63779,58.56743,07/08/2021,C,12:14,13:05,muddy_sand,NA,NA,,0,1,0,0,0,0
175,-4.61617,58.57288,07/08/2021,A,12:37,13:55,cob_boulder,NA,NA,,0,0,0,0,1,0
169,-4.62403,58.57074,07/08/2021,B,12:54,14:22,muddy_sand,NA,NA,,0,1,0,0,0,0
159,-4.65073,58.568,07/08/2021,C,13:13,14:35,muddy_sand,gravel,NA,,0,1,0,1,0,0
172,-4.63563,58.57227,07/08/2021,A,09:03,09:54,muddy_sand,NA,NA,,0,1,0,0,0,0
162,-4.65614,58.56913,09/08/2021,A,09:03,09:54,cob_boulder,gravel,NA,,0,0,0,1,1,0
180,-4.65687,58.56913,09/08/2021,C,09:13,10:14,rock,NA,NA,,0,0,0,0,0,1
190,-4.66201,58.57804,09/08/2021,B,09:20,10:26,gravel,muddy_sand,NA,,0,1,0,1,0,0
194,-4.6559,58.57897,09/08/2021,A,10:04,10:57,gravel,cob_boulder,NA,,0,0,0,1,1,0
189,-4.66926,58.57774,09/08/2021,C,10:21,11:11,sand,NA,NA,,0,0,1,0,0,0
187,-4.67932,58.57752,09/08/2021,B,10:36,11:26,sand,NA,NA,,0,0,1,0,0,0
206,-4.65443,58.58313,09/08/2021,A,11:03,11:57,muddy_sand,NA,NA,,0,1,0,0,0,0
207,-4.66995,58.58318,09/08/2021,C,11:19,12:08,sand,NA,NA,,0,0,1,0,0,0
195,-4.68404,58.57912,09/08/2021,B,11:33,12:25,sand,NA,NA,,0,0,1,0,0,0
214,-4.66205,58.58606,09/08/2021,A,12:04,12:56,muddy_sand,NA,NA,,0,1,0,0,0,0
201,-4.68013,58.58096,09/08/2021,C,12:17,13:16,sand,NA,NA,,0,0,1,0,0,0
179,-4.70096,58.57391,09/08/2021,B,12:35,13:30,sand,NA,NA,,0,0,1,0,0,0
