Waypoint,long,lat,Date,Frame,In,Out,Substratum1,Substratum2,Substratum3,Substratum4,mud,muddy_sand,sand,gravel,cob_boulder,rock
W0451,-4.68859,58.50618,27/07/2022,C,09:03:00,09:54:00,muddy_sand,,,,0,1,0,0,0,0
W1071,-4.68168,58.51458,27/07/2022,A,09:15:00,10:09:00,muddy_sand,,,,0,1,0,0,0,0
W0461,-4.69647,58.50187,27/07/2022,B,09:27:00,10:27:00,muddy_sand,cob_boulder,,,0,1,0,0,1,0
W0881,-4.68355,58.50072,27/07/2022,C,10:02:00,10:54:00,mud,,,,1,0,0,0,0,0
W0861,-4.69656,58.49413,27/07/2022,A,10:23:00,11:14:00,mud,,,,1,0,0,0,0,0
W1031,-4.69841,58.49949,27/07/2022,B,10:31:00,11:25:00,muddy_sand,,,,0,1,0,0,0,0
W0651,-4.70927,58.49644,27/07/2022,C,11:04:00,11:54:00,muddy_sand,,,,0,1,0,0,0,0
W1021,-4.70974,58.49093,27/07/2022,A,11:21:00,12:12:00,muddy_sand,gravel,,,0,1,0,1,0,0
W0871,-4.70444,58.4935,27/07/2022,B,11:33:00,12:31:00,mud,,,,1,0,0,0,0,0
W0641,-4.71563,58.48836,27/07/2022,C,12:01:00,13:00:00,muddy_sand,cob_boulder,,,0,1,0,0,1,0
W0631,-4.71395,58.47953,27/07/2022,A,12:23:00,13:15:00,rock,,,,0,0,0,0,0,0
W0471,-4.71461,58.48363,27/07/2022,B,12:39:00,13:29:00,muddy_sand,gravel,,,0,1,0,1,0,0
W0481,-4.7205,58.4761,27/07/2022,C,13:07:00,14:02:00,muddy_sand,,,,0,1,0,0,0,0
W0831,-4.71895,58.47081,27/07/2022,A,13:21:00,14:12:00,mud,,,,1,0,0,0,0,0
W1051,-4.72672,58.47069,27/07/2022,B,13:41:00,14:35:00,muddy_sand,,,,0,1,0,0,0,0
W1041,-4.64933,58.51911,28/07/2022,B,08:47:00,09:39:00,sand,,,,0,0,1,0,0,0
W0921,-4.66237,58.51864,28/07/2022,A,08:53:00,09:53:00,mud,,,,1,0,0,0,0,0
W0911,-4.65432,58.51509,28/07/2022,C,08:59:00,09:58:00,mud,,,,1,0,0,0,0,0
W0901,-4.66785,58.50932,28/07/2022,B,09:47:00,10:37:00,mud,,,,1,0,0,0,0,0
W0891,-4.669,58.50355,28/07/2022,C,10:06:00,10:56:00,mud,,,,1,0,0,0,0,0
W0511,-4.66397,58.4952,28/07/2022,A,10:16:00,11:06:00,muddy_sand,gravel,,,0,1,0,1,0,0
W1061,-4.66767,58.48847,28/07/2022,A,11:13:00,12:04:00,muddy_sand,,,,0,1,0,0,0,0
W0851,-4.67984,58.48912,28/07/2022,B,11:20:00,12:10:00,mud,,,,1,0,0,0,0,0
W0841,-4.69213,58.48444,28/07/2022,C,11:26:00,12:31:00,mud,,,,1,0,0,0,0,0
W0371,-4.69964,58.47899,28/07/2022,B,12:19:00,13:09:00,mud,,,,1,0,0,0,0,0
W0361,-4.70416,58.47329,28/07/2022,A,12:24:00,13:15:00,mud,,,,1,0,0,0,0,0
W0501,-4.68159,58.48093,28/07/2022,C,12:37:00,13:27:00,muddy_sand,,,,0,1,0,0,0,0
W0791,-4.7305,58.57952,30/07/2022,C,09:17:00,10:07:00,rock,cob_boulder,,,0,0,0,0,1,1
