Waypoint,long,lat,Date,Frame,In,Out,Substratum1,Substratum2,Substratum3,Substratum4
R36,-5.237473333,57.84945333,17/07/2023,B,09:54,10:52,,,,
R40,-5.257983333,57.86612,17/07/2023,A,10:03,10:57,muddy_sand,gravel,,
R24,-5.270343333,57.865235,17/07/2023,C,10:14,11:10,mud,,,
R92,-5.270343333,57.863875,17/07/2023,A,11:03,11:53,mud,,,
R99,-5.288708333,57.86753167,17/07/2023,C,11:18,12:08,mud,,,
R45,-5.300546667,57.86607,17/07/2023,B,11:24,12:18,mud,,,
R18,-5.303591667,57.87120333,17/07/2023,A,12:02,12:54,mud,,,
R113,-5.311871667,57.86827667,17/07/2023,C,12:14,13:08,mud,,,
R75,-5.317031667,57.87869833,17/07/2023,B,12:24,13:21,mud,,,
R44,-5.333745,57.88308333,17/07/2023,A,13:02,13:59,mud,,,
R39,-5.328078333,57.89037167,17/07/2023,C,13:16,14:11,muddy_sand,gravel,cob_boulder,
R61,-5.338708333,57.89618833,17/07/2023,B,13:29,14:18,mud,,,
R51,-5.349718333,57.89956333,17/07/2023,A,14:06,15:02,mud,,,
R54,-5.353203333,57.88995333,17/07/2023,B,14:21,15:20,muddy_sand,gravel,,
R74,-5.368376667,57.89490667,17/07/2023,C,14:27,15:11,gravel,sand,,
R115,-5.572613333,57.92327833,18/07/2023,B,08:56,09:47,gravel,sand,,
R78,-5.568103333,57.92054667,18/07/2023,C,09:02,09:52,sand,cob_boulder,,
R71,-5.563935,57.923975,18/07/2023,A,09:08,09:57,cob_boulder,,,
R70,-5.536888333,57.899925,18/07/2023,A,10:06,10:56,mud,,,
R112,-5.517021667,57.90143333,18/07/2023,C,10:14,11:05,mud,,,
R109,-5.538883333,57.89367333,18/07/2023,B,10:26,11:16,muddy_sand,,,
R64,-5.510098333,57.90484833,18/07/2023,A,11:02,11:55,mud,,,
R90,-5.508335,57.89986167,18/07/2023,C,11:10,12:05,mud,,,
R9,-5.507478333,57.89644833,18/07/2023,B,11:23,12:15,mud,,,
R80,-5.498621667,57.89352167,18/07/2023,A,12:02,12:55,mud,,,
R29,-5.48746,57.89245,18/07/2023,C,12:11,13:03,cob_boulder,,,
R110,-5.486276667,57.88492667,18/07/2023,B,12:23,13:14,cob_boulder,gravel,,
R102,-5.503478333,57.88639833,18/07/2023,A,13:00,13:48,cob_boulder,,,
R56,-5.497661667,57.88047167,18/07/2023,C,13:10,13:58,cob_boulder,gravel,,
R48,-5.475958333,57.87738833,18/07/2023,B,13:22,14:08,muddy_sand,gravel,,
R88,-5.491858333,57.87286333,19/07/2023,B,09:14,10:05,rock,,,
R67,-5.487488333,57.86409833,19/07/2023,C,09:20,10:18,rock,,,
R32,-5.484221667,57.87197333,19/07/2023,A,09:26,10:30,muddy_sand,sand,,
R15,-5.467315,57.87333333,19/07/2023,B,10:14,10:59,mud,,,
R114,-5.461805,57.86887167,19/07/2023,C,10:26,11:14,muddy_sand,,,
R7,-5.452061667,57.87887833,19/07/2023,A,10:36,11:26,sand,,,
R57,-5.445636667,57.886765,19/07/2023,B,11:05,11:52,sand,,,
R111,-5.453601667,57.89481167,19/07/2023,C,11:20,12:04,muddy_sand,,,
R20,-5.458288333,57.89505667,19/07/2023,A,11:32,12:16,sand,gravel,,
R66,-5.463646667,57.90403667,19/07/2023,B,11:59,12:52,gravel,,,
R69,-5.471266667,57.90357833,19/07/2023,C,12:09,13:04,gravel,,,
R116,-5.475225,57.90234,19/07/2023,A,12:20,13:17,rock,,,
R84,-5.44102,57.90196833,19/07/2023,B,12:59,13:45,cob_boulder,,,
R73,-5.439981667,57.91004667,19/07/2023,C,13:12,13:54,mud,,,
R87,-5.454066667,57.913885,19/07/2023,A,13:25,14:05,sand,,,
R37,-5.414848333,57.92983,20/07/2023,A,08:30,09:20,cob_boulder,,,
R46,-5.433205,57.92267833,20/07/2023,C,08:39,09:31,cob_boulder,gravel,muddy_sand,
R95,-5.425588333,57.91116333,20/07/2023,B,08:49,09:41,gravel,muddy_sand,,
R41,-5.416775,57.91969167,20/07/2023,A,09:27,10:15,mud,,,
R79,-5.417931667,57.91638667,20/07/2023,C,09:38,10:25,mud,,,
R6,-5.406196667,57.91500833,20/07/2023,B,09:46,10:34,cob_boulder,muddy_sand,,
R81,-5.401835,57.91284,20/07/2023,A,10:20,11:09,mud,,,
R63,-5.39596,57.91103833,20/07/2023,C,10:30,11:19,gravel,,,
R59,-5.397568333,57.908045,20/07/2023,B,10:40,11:29,mud,,,
R85,-5.389676667,57.90394,20/07/2023,A,11:14,12:08,cob_boulder,gravel,muddy_sand,
R97,-5.38272,57.90758333,20/07/2023,C,11:26,12:20,muddy_sand,,,
R98,-5.371066667,57.90383333,20/07/2023,B,11:38,12:34,mud,,,
R14,-5.356906667,57.90387667,20/07/2023,A,12:16,13:01,muddy_sand,,,
R1,-5.34085,57.90163167,20/07/2023,C,12:29,13:09,muddy_sand,,,
R31,-5.345343333,57.888595,20/07/2023,B,12:44,13:21,cob_boulder,,,
R19,-5.387366667,57.93699333,21/07/2023,B,11:12,11:58,mud,,,
R16,-5.390008333,57.938675,21/07/2023,C,11:18,12:10,cob_boulder,mud,,
R103,-5.401053333,57.93695667,21/07/2023,A,11:23,12:26,muddy_sand,,,
R13,-5.406365,57.93633167,21/07/2023,B,12:04,12:56,muddy_sand,gravel,,
R30,-5.422333333,57.93719833,21/07/2023,C,12:21,13:13,cob_boulder,mud,,
R33,-5.428735,57.93141,21/07/2023,A,12:36,13:29,gravel,muddy_sand,,
R58,-5.444541667,57.93526333,21/07/2023,B,13:07,13:55,mud,,,
R43,-5.45184,57.92690833,21/07/2023,C,13:23,14:10,mud,,,
R17,-5.44312,57.923785,21/07/2023,A,13:36,14:23,mud,,,
R25,-5.464618333,57.92764333,21/07/2023,B,14:03,14:53,mud,,,
R107,-5.462461667,57.92143,21/07/2023,C,14:14,15:02,mud,,,
R60,-5.454565,57.92176333,21/07/2023,A,14:27,15:12,mud,,,
R106,-5.510233333,57.93189833,24/07/2023,C,10:06,10:56,mud,,,
R49,-5.495475,57.93064167,24/07/2023,B,10:13,11:07,mud,,,
R11,-5.47792,57.92640833,24/07/2023,A,10:21,11:19,mud,,,
R101,-5.503061667,57.931045,24/07/2023,C,11:05,12:00,mud,,,
R65,-5.489615,57.92424833,24/07/2023,B,11:13,12:14,mud,,,
R108,-5.475146667,57.927145,24/07/2023,A,11:25,12:24,mud,,,
R35,-5.47634,57.91613667,24/07/2023,C,12:09,13:05,mud,,,
R26,-5.48303,57.91248833,24/07/2023,B,12:20,13:14,mud,cob_boulder,,
R2,-5.449688333,57.91628833,24/07/2023,A,12:31,13:25,mud,,,
R42,-5.470616667,57.91941333,24/07/2023,C,13:11,14:00,mud,,,
R28,-5.475626667,57.90994333,24/07/2023,B,13:20,14:11,muddy_sand,cob_boulder,,
R62,-5.499091667,57.90520333,24/07/2023,A,13:37,14:25,cob_boulder,gravel,,
R55,-5.506178333,57.91590833,24/07/2023,B,14:19,15:16,mud,,,
R5,-5.504776667,57.91064167,24/07/2023,C,14:22,15:20,muddy_sand,gravel,,
R89,-5.518203333,57.91468167,24/07/2023,A,14:32,15:31,mud,,,
R3,-5.543433333,57.92728333,25/07/2023,A,09:10,10:04,muddy_sand,gravel,,
R52,-5.557823333,57.92602333,25/07/2023,C,09:15,10:12,muddy_sand,gravel,,
R94,-5.544541667,57.91967667,25/07/2023,B,09:21,10:23,sand,,,
R96,-5.556125,57.924585,25/07/2023,A,10:11,11:06,cob_boulder,,,
R10,-5.547251667,57.91557,25/07/2023,C,10:22,11:13,sand,gravel,,
R100,-5.542496667,57.91954667,25/07/2023,B,10:29,11:22,sand,,,
R12,-5.548925,57.918965,25/07/2023,A,11:12,12:01,sand,gravel,,
R22,-5.538668333,57.911,25/07/2023,C,11:19,12:10,sand,,,
R91,-5.534813333,57.91840833,25/07/2023,B,11:29,12:20,muddy_sand,,,
R47,-5.528925,57.91434833,25/07/2023,A,12:09,13:02,mud,,,
R27,-5.523963333,57.90657333,25/07/2023,C,12:16,13:13,mud,,,
R21,-5.53157,57.91920333,25/07/2023,B,12:25,13:19,cob_boulder,,,
R68,-5.534458333,57.92293667,25/07/2023,A,13:08,14:02,mud,,,
R50,-5.514135,57.888725,26/07/2023,A,08:25,09:17,cob_boulder,,,
R38,-5.528078333,57.88732667,26/07/2023,B,08:31,09:24,sand,gravel,,
R4,-5.532376667,57.880215,26/07/2023,C,08:34,09:32,sand,gravel,cob_boulder,
R34,-5.519098333,57.89105833,26/07/2023,A,09:23,10:19,cob_boulder,,,
R86,-5.525263333,57.88244667,26/07/2023,B,09:31,10:26,mud,,,
R83,-5.534935,57.88448,26/07/2023,C,09:38,10:34,gravel,cob_boulder,,
R104,-5.515926667,57.88508833,26/07/2023,A,10:24,11:20,cob_boulder,gravel,,
R23,-5.517063333,57.87912667,26/07/2023,B,10:31,11:28,cob_boulder,,,
R82,-5.529573333,57.87654167,26/07/2023,C,10:40,11:37,rock,,,
R76,-5.50942,57.88220833,26/07/2023,A,11:26,12:19,cob_boulder,gravel,,
R72,-5.504546667,57.874005,26/07/2023,B,11:33,12:27,rock,,,
R105,-5.518946667,57.87233,26/07/2023,C,11:42,12:35,cob_boulder,,,
R8,-5.493216667,57.87108667,26/07/2023,A,12:25,13:17,sand,cob_boulder,,
R53,-5.513728333,57.87159,26/07/2023,B,12:32,13:25,gravel,,,
R77,-5.503703333,57.865825,26/07/2023,C,12:41,13:29,,,,
R93,-5.500928333,57.86988333,26/07/2023,A,13:22,14:14,rock,,,
