Waypoint,long,lat,Date,Frame,In,Out,Substratum1,Substratum2,Substratum3,Substratum4,mud,muddy_sand,sand,gravel,cob_boulder,rock
S9,5.575018333,57.93334,22/08/2022,B,10:33,11:30,,,,,,,,,,
S3,5.586301667,57.9331,22/08/2022,A,10:46,11:38,mud,,,,,,,,,
S1,5.59886,57.93207833,22/08/2022,C,10:54,11:53,cob_boulder,,,,,,,,,
S8,5.57527,57.93017167,22/08/2022,B,11:37,12:28,cob_boulder,muddy sand,,,,,,,,
S5,5.588168333,57.93087,22/08/2022,A,11:48,12:43,gravel,cob_boulder,,,,,,,,
S2,5.59783,57.92965167,22/08/2022,C,12:03,12:50,gravel,cob_boulder,,,,,,,,
S10,5.571715,57.92839667,22/08/2022,B,12:34,13:27,gravel,,,,,,,,,
S4,5.588886667,57.92221833,22/08/2022,C,13:06,14:05,rock,,,,,,,,,
S6,5.582335,57.92540667,22/08/2022,A,13:10,14:09,sand,gravel,,,,,,,,
S7,5.577335,57.92636333,22/08/2022,B,13:30,14:20,cob_boulder,gravel,,,,,,,,
S110,5.456323333,57.93334333,22/08/2022,B,14:43,15:41,mud,,,,,,,,,
S121,5.443441667,57.92984333,22/08/2022,A,14:51,15:44,mud,,,,,,,,,
S122,5.442058333,57.93498,22/08/2022,C,14:56,15:54,mud,,,,,,,,,
S154,5.39051,57.93859667,22/08/2022,C,16:05,16:55,mud,,,,,,,,,
S158,5.378136667,57.938865,22/08/2022,A,16:11,17:04,mud,,,,,,,,,
S161,5.369563333,57.939265,22/08/2022,B,16:19,17:12,mud,sand,,,,,,,,
S85,5.473946667,57.92998,23/08/2022,B,09:01,09:41,mud,,,,,,,,,
S95,5.464816667,57.92347,23/08/2022,C,09:29,10:19,mud,,,,,,,,,
S89,5.469628333,57.92903833,23/08/2022,B,09:48,10:39,mud,,,,,,,,,
S84,5.475121667,57.92405,23/08/2022,A,10:11,11:03,mud,,,,,,,,,
S104,5.461158333,57.9248,23/08/2022,C,10:27,11:18,mud,,,,,,,,,
S120,5.44366,57.92919833,23/08/2022,B,10:49,11:39,mud,,,,,,,,,
S127,5.440348333,57.922595,23/08/2022,C,11:29,12:20,mud,,,,,,,,,
S118,5.443475,57.91668333,23/08/2022,A,11:34,12:30,mud,,,,,,,,,
S129,5.434316667,57.92551833,23/08/2022,B,11:48,12:41,mud,,,,,,,,,
S128,5.439755,57.92089333,23/08/2022,C,12:26,13:19,mud,,,,,,,,,
S124,5.440846667,57.91533167,23/08/2022,A,12:35,13:28,mud,,,,,,,,,
S126,5.44026,57.926965,23/08/2022,B,12:48,13:38,mud,,,,,,,,,
S123,5.442036667,57.91850667,23/08/2022,C,13:24,14:15,mud,,,,,,,,,
S166,5.363655,57.93931833,23/08/2022,C,14:41,15:35,sand,,,,,,,,,
S134,5.422825,57.93795667,24/08/2022,C,08:36,09:29,mud,,,,,,,,,
S137,5.420026667,57.92343,24/08/2022,B,08:44,09:34,sand,cob_boulder,,,,,,,,
S138,5.417241667,57.92843333,24/08/2022,A,08:50,09:51,cob_boulder,sand,,,,,,,,
S133,5.424366667,57.91976333,24/08/2022,C,09:37,10:29,muddy_sand,cob_boulder,,,,,,,,
S142,5.414078333,57.92032,24/08/2022,B,09:46,10:37,muddy_sand,,,,,,,,,
S148,5.403993333,57.92157833,24/08/2022,A,09:56,10:46,gravel,,,,,,,,,
