Waypoint,Location,Long,Lat,Date,Year,Frame,Camera viewed,Seabed,Shark,SkateRay,Elasmo,Seabed_startTime,Total_time,Skate_MaxN,Skate_firstarrival,Skate_Sex,Approach,Skate_TL,Dogfish_MaxN,Dogfish_firstarrival,Dogfish_TL1,Dogfish_TL2,Dogfish_TL3,Thornback_MaxN,Thornback_firstarrival,Thornback_Sex,Thornback_TL,Thornback_TL_2,Spurdog_MaxN,Spurdog_firstarrival,Spurdog_TL,Spurdog_TL_2,SpottedRay_MaxN,SpottedRay_firstarrival,SpottedRay_TL,SpottedRay_TL_2,Porbeagle_MaxN,Porbeagle_firstarrival,Porbeagle_TL,Note
55,Eriboll,-4.69802,58.50158,04/08/2021,2021,A,left,muddy_sand,,,,00:03:43,00:52:22,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left only
54,Eriboll,-4.68712,58.50092,04/08/2021,2021,B,left,mud,,,,00:15:59,00:54:33,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
49,Eriboll,-4.69244,58.49609,04/08/2021,2021,C,left,mud,,yes,yes,00:03:20,01:03:56,1,00:40:50,M,pass,197,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
48,Eriboll,-4.71134,58.49523,04/08/2021,2021,A,left,gravel,,,,00:07:13,00:51:59,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left only
56,Eriboll,-4.68834,58.50579,04/08/2021,2021,B,left,muddy_sand,,,,00:02:46,00:51:34,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
47,Eriboll,-4.70339,58.49475,04/08/2021,2021,C,left,mud,,,,00:05:07,00:50:53,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
52,Eriboll,-4.70001,58.50023,04/08/2021,2021,B,left,gravel,,,,00:03:46,00:48:12,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
32,Eriboll,-4.70336,58.48393,04/08/2021,2021,C,right,gravel,,,,00:06:00,00:53:38,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,right only
200,Eriboll,-4.72949,58.58109,05/08/2021,2021,A,left,rock,yes,,yes,00:05:41,00:51:04,0,00:00:00,,,,2,00:06:21,67.6,59.6,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
191,Eriboll,-4.73669,58.57841,05/08/2021,2021,B,left,rock,,,,00:05:29,00:53:55,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
168,Eriboll,-4.73495,58.57112,05/08/2021,2021,C,left,sand,,,,00:02:32,00:54:41,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
178,Eriboll,-4.72148,58.57346,05/08/2021,2021,A,left,sand,yes,,yes,00:06:11,00:48:57,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
193,Eriboll,-4.73121,58.57899,05/08/2021,2021,B,left,rock,yes,yes,yes,00:04:43,00:54:50,1,00:52:18,M,bait,210.4,2,00:07:48,56.9,58,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
166,Eriboll,-4.70842,58.5704,05/08/2021,2021,C,left,sand,,,,00:06:03,01:01:42,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
181,Eriboll,-4.70431,58.57473,05/08/2021,2021,A,left,sand,,,,00:03:56,00:51:50,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left only
209,Eriboll,-4.7004,58.58389,05/08/2021,2021,B,left,muddy_sand,,,,00:00:29,00:51:13,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
160,Eriboll,-4.69855,58.56862,05/08/2021,2021,C,left,sand,,,,00:02:31,00:57:16,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
170,Eriboll,-4.69182,58.57207,05/08/2021,2021,A,left,rock,yes,,yes,00:07:41,00:52:58,0,00:00:00,,,,1,00:50:12,57.7,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
192,Eriboll,-4.68579,58.57858,05/08/2021,2021,B, left,sand,,,,00:04:37,00:50:19,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
151,Eriboll,-4.69557,58.56475,05/08/2021,2021,C,left,rock,,,,00:08:01,00:52:04,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
165,Eriboll,-4.68489,58.56966,05/08/2021,2021,A,left,sand,,,,00:07:29,00:49:07,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
185,Eriboll,-4.67854,58.57689,05/08/2021,2021,B,left,sand,yes,yes,yes,00:03:05,00:51:13,1,00:45:01,F,bait,218.5,1,00:39:07,61.5,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
65,Eriboll,-4.6152,58.52126,06/08/2021,2021,C,left,sand,,,,00:01:38,00:52:39,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
75,Eriboll,-4.60408,58.52783,06/08/2021,2021,B,left,cob_boulder,yes,,yes,00:01:29,00:51:58,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
83,Eriboll,-4.61386,58.53134,06/08/2021,2021,A,left,muddy_sand,,,,00:03:55,00:55:16,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
76,Eriboll,-4.62938,58.52935,06/08/2021,2021,C,left,sand,,,,00:01:05,00:49:46,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
89,Eriboll,-4.6025,58.53533,06/08/2021,2021,B,left,sand,,,,00:01:23,00:58:21,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
88,Eriboll,-4.62033,58.53456,06/08/2021,2021,A,left,muddy_sand,,,,00:01:47,01:01:44,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
96,Eriboll,-4.63402,58.54049,06/08/2021,2021,C,left,mud,,,,00:02:04,01:01:20,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
97,Eriboll,-4.6012,58.5409,06/08/2021,2021,B,left,cob_boulder,yes,,yes,00:01:52,00:50:33,0,00:00:00,,,,1,00:15:28,51.3,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
91,Eriboll,-4.62872,58.53675,06/08/2021,2021,A,left,mud,,,,00:01:51,00:53:46,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
102,Eriboll,-4.62783,58.54538,06/08/2021,2021,C,left,muddy_sand,,,,00:02:27,00:49:45,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left andright
104,Eriboll,-4.61223,58.54581,06/08/2021,2021,B,left,muddy_sand,,,,00:02:20,00:53:41,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left only
95,Eriboll,-4.62258,58.54042,06/08/2021,2021,A,left,muddy_sand,,,,00:02:14,00:55:17,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
114,Eriboll,-4.62958,58.54911,06/08/2021,2021,C,left,muddy_sand,,,,00:01:55,00:50:55,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
119,Eriboll,-4.60625,58.54911,06/08/2021,2021,B,left,cob_boulder,,,,00:02:53,00:52:03,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
100,Eriboll,-4.60385,58.54344,06/08/2021,2021,A,left,cob_boulder,,,,00:02:24,00:52:40,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
204,Eriboll,-4.58815,58.5837,07/08/2021,2021,C,left,cob_boulder,yes,,yes,00:01:48,01:02:31,0,00:00:00,,,,1,00:41:16,72.4,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
183,Eriboll,-4.60005,58.57661,07/08/2021,2021,A,left,rock,yes,,yes,00:02:07,01:01:15,0,00:00:00,,,,3,00:19:07,34.3,34.6,58.4,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
174,Eriboll,-4.60216,58.57021,07/08/2021,2021,B,left,rock,,,,00:01:14,00:57:34,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
154,Eriboll,-4.60737,58.56597,07/08/2021,2021,C,left,cob_boulder,yes,,yes,00:01:23,00:55:18,0,00:00:00,,,,2,00:07:53,60.2,52.2,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
144,Eriboll,-4.66934,58.56144,07/08/2021,2021,A,left,rock,yes,,yes,00:02:07,00:58:35,0,00:00:00,,,,2,00:09:28,54.2,58.7,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
148,Eriboll,-4.61888,58.56353,07/08/2021,2021,B,left,muddy_sand,,yes,yes,00:02:41,00:58:35,0,00:00:00,,,,0,00:00:00,,,,1,00:45:48,M,51.1,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
156,Eriboll,-4.63779,58.56743,07/08/2021,2021,C,left,muddy_sand,yes,,yes,00:01:55,00:49:06,0,00:00:00,,,,1,00:30:16,58.1,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
175,Eriboll,-4.61617,58.57288,07/08/2021,2021,A,left,cob_boulder,yes,,yes,00:03:17,01:17:47,0,00:00:00,,,,1,00:31:44,71.6,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
169,Eriboll,-4.62403,58.57074,07/08/2021,2021,B,left,muddy_sand,yes,yes,yes,00:01:59,01:24:48,0,00:00:00,,,,1,00:10:03,59.9,,,1,00:29:59,M,53.5,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
159,Eriboll,-4.65073,58.568,07/08/2021,2021,C,left,muddy_sand,yes,,yes,00:02:28,01:19:03,0,00:00:00,,,,1,00:29:42,71.1,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
172,Eriboll,-4.63563,58.57227,07/08/2021,2021,A,left,muddy_sand,,yes,yes,00:04:54,00:47:59,0,00:00:00,,,,0,00:00:00,,,,1,00:14:07,M,45.7,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
162,Eriboll,-4.65614,58.56913,09/08/2021,2021,A,left,cob_boulder,yes,,yes,00:03:30,00:50:44,0,00:00:00,,,,3,00:17:55,60.5,62,61.7,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
180,Eriboll,-4.65687,58.56913,09/08/2021,2021,C,left,rock,yes,,yes,00:02:22,00:56:26,0,00:00:00,,,,1,00:42:31,obscured,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
190,Eriboll,-4.66201,58.57804,09/08/2021,2021,B,left,gravel,yes,yes,yes,00:04:39,01:06:10,1,00:54:00,F,bait,obscured,1,00:08:36,88,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right___ this was upside down so left is right!!
194,Eriboll,-4.6559,58.57897,09/08/2021,2021,A,left,gravel,,,,00:03:09,00:50:37,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left andright
189,Eriboll,-4.66926,58.57774,09/08/2021,2021,C,left,sand,,,,00:02:17,00:50:02,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
187,Eriboll,-4.67932,58.57752,09/08/2021,2021,B,left,sand,,,,00:02:06,00:50:29,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
206,Eriboll,-4.65443,58.58313,09/08/2021,2021,A,left,muddy_sand,,,,00:02:16,00:52:35,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
207,Eriboll,-4.66995,58.58318,09/08/2021,2021,C,left,sand,,,,00:02:06,00:50:41,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
195,Eriboll,-4.68404,58.57912,09/08/2021,2021,B,left,sand,,,,00:01:34,00:52:57,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
214,Eriboll,-4.66205,58.58606,09/08/2021,2021,A,left,muddy_sand,,yes,yes,00:02:12,00:51:49,0,00:00:00,,,,0,00:00:00,,,,1,00:39:07,F,57,,0,00:00:00,,,0,00:00:00,,,0,00:00:00,,left and right
